category,name,shortlist,code,scheme,aum,earliestNavDate,navCount,cat-avg,rr-all-rank,rr-all-avg,rr-1-avg,rr-3-avg,rr-5-avg,rr-8-avg,rr-10-avg,rr-12-avg,rr-all-count,rr-all-avg-,rr-all-stddev,rr-all-median,rr-all-min,rr-all-max,rr-all-dist-<0,rr-all-dist-0-10,rr-all-dist-10-20,rr-all-dist-20-30,rr-all-dist->30,rr-1-count,rr-1-avg-,rr-1-stddev,rr-1-median,rr-1-min,rr-1-max,rr-1-dist-<0,rr-1-dist-0-10,rr-1-dist-10-20,rr-1-dist-20-30,rr-1-dist->30,rr-3-count,rr-3-avg-,rr-3-stddev,rr-3-median,rr-3-min,rr-3-max,rr-3-dist-<0,rr-3-dist-0-10,rr-3-dist-10-20,rr-3-dist-20-30,rr-3-dist->30,rr-5-count,rr-5-avg-,rr-5-stddev,rr-5-median,rr-5-min,rr-5-max,rr-5-dist-<0,rr-5-dist-0-10,rr-5-dist-10-20,rr-5-dist-20-30,rr-5-dist->30,rr-8-count,rr-8-avg-,rr-8-stddev,rr-8-median,rr-8-min,rr-8-max,rr-8-dist-<0,rr-8-dist-0-10,rr-8-dist-10-20,rr-8-dist-20-30,rr-8-dist->30,rr-10-count,rr-10-avg-,rr-10-stddev,rr-10-median,rr-10-min,rr-10-max,rr-10-dist-<0,rr-10-dist-0-10,rr-10-dist-10-20,rr-10-dist-20-30,rr-10-dist->30,rr-12-count,rr-12-avg-,rr-12-stddev,rr-12-median,rr-12-min,rr-12-max,rr-12-dist-<0,rr-12-dist-0-10,rr-12-dist-10-20,rr-12-dist-20-30,rr-12-dist->30
"Index Funds","Axis CRISIL-IBX AAA Bond Financial Services - Sep 2027 Index Fund - Direct Plan - Growth Option","","153051","Other Scheme","undefined","undefined","212","undefined","","","","","","","","","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0"
"Index Funds","Axis CRISIL-IBX AAA Bond NBFC - Jun 2027 Index Fund - Direct Plan - Growth Option","","152887","Other Scheme","undefined","undefined","251","undefined","","","","","","","","","4","","","","","","0","0","0","0","0","4","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0"
"Index Funds","Axis CRISIL-IBX AAA Bond NBFC-HFC - Jun 2027 Index Fund - Direct Plan - Growth option","","153172","Other Scheme","undefined","undefined","198","undefined","","","","","","","","","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0"
"Index Funds","Axis CRISIL-IBX Financial Services 3-6 Months Debt Index Fund - Direct Plan - Growth option","","153879","Other Scheme","undefined","undefined","3","undefined","","","","","","","","","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0"
"Index Funds","Axis Nifty 100 Index Fund - Direct Plan - Growth Option","","147666","Other Scheme","undefined","undefined","1473","undefined","","","","","","","","","2082","","","","","","0","0","0","0","0","1151","","","","","","0","0","0","0","0","704","","","","","","0","0","0","0","0","227","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0"
"Index Funds","Axis Nifty 50 Index Fund - Direct Plan - Growth","","149373","Other Scheme","undefined","undefined","947","undefined","","","","","","","","","855","","","","","","0","0","0","0","0","655","","","","","","0","0","0","0","0","200","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0"
"Index Funds","Axis Nifty 500 Index Fund - Direct Plan - Growth Option","","152731","Other Scheme","undefined","undefined","306","undefined","","","","","","","","","52","","","","","","0","0","0","0","0","52","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0"
"Index Funds","Axis Nifty Bank Index Fund - Direct Plan - Growth Option","","152629","Other Scheme","undefined","undefined","339","undefined","","","","","","","","","85","","","","","","0","0","0","0","0","85","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0"
"Index Funds","Axis Nifty IT Index Fund - Direct Plan - Growth","","151785","Other Scheme","undefined","undefined","549","undefined","","","","","","","","","282","","","","","","0","0","0","0","0","282","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0"
"Index Funds","Axis Nifty Midcap 50 Index Fund - Direct Plan - Growth Option","","149936","Other Scheme","undefined","undefined","869","undefined","","","","","","","","","703","","","","","","0","0","0","0","0","579","","","","","","0","0","0","0","0","124","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0"
"Index Funds","Axis Nifty Next 50 Index Fund - Direct Plan - Growth","","149466","Other Scheme","undefined","undefined","908","undefined","","","","","","","","","779","","","","","","0","0","0","0","0","617","","","","","","0","0","0","0","0","162","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0"
"Index Funds","Axis Nifty SDL September 2026 Debt Index Fund - Direct Plan - Growth","","150854","Other Scheme","undefined","undefined","697","undefined","","","","","","","","","413","","","","","","0","0","0","0","0","413","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0"
"Index Funds","Axis Nifty Smallcap 50 Index Fund - Direct Plan - Growth Option","","149894","Other Scheme","undefined","undefined","880","undefined","","","","","","","","","725","","","","","","0","0","0","0","0","590","","","","","","0","0","0","0","0","135","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0"
"Index Funds","Axis Nifty500 Momentum 50 Index Fund - Direct Plan - Growth Option","","153244","Other Scheme","undefined","undefined","156","undefined","","","","","","","","","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0"
"Index Funds","Axis Nifty500 Quality 50 Index Fund - Direct Plan - Growth Option","","153829","Other Scheme","undefined","undefined","13","undefined","","","","","","","","","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0"
"Index Funds","Axis Nifty500 Value 50 Index Fund - Direct Plan - Growth Option","","152949","Other Scheme","undefined","undefined","232","undefined","","","","","","","","","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0"
"Index Funds","Bajaj Finserv Nifty 50 Index Fund - Direct - Growth","","153506","Other Scheme","undefined","undefined","96","undefined","","","","","","","","","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0"
"Index Funds","Bajaj Finserv Nifty Next 50 Index Fund - Direct - Growth","","153479","Other Scheme","undefined","undefined","99","undefined","","","","","","","","","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0"
"Index Funds","Bandhan BSE Healthcare Index Fund Direct Plan - Growth","","152844","Other Scheme","undefined","undefined","268","undefined","","","","","","","","","17","","","","","","0","0","0","0","0","17","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0"
"Index Funds","Bandhan BSE India Sector Leaders Index Fund - Direct Plan - Growth","","153838","Other Scheme","undefined","undefined","5","undefined","","","","","","","","","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0"
"Index Funds","BANDHAN CRISIL IBX 90:10 SDL PLUS GILT APRIL 2032 INDEX FUND - DIRECT GROWTH","","150871","Other Scheme","undefined","undefined","694","undefined","","","","","","","","","410","","","","","","0","0","0","0","0","410","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","0","0","0","0","0"
