Debt Scheme - Banking and PSU Fund,127471,IDFC-IDFC Banking & PSU Debt Fund - Direct Daily IDCW,IDFC Mutual Fund,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Debt Scheme
Debt Scheme - Banking and PSU Fund,121934,IDFC-IDFC Banking & PSU Debt Fund - Direct Fortnightly IDCW,IDFC Mutual Fund,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Debt Scheme
Debt Scheme - Banking and PSU Fund,121279,IDFC-IDFC Banking & PSU Debt Fund - Direct Growth,IDFC Mutual Fund,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Debt Scheme
Debt Scheme - Banking and PSU Fund,121281,IDFC-IDFC Banking & PSU Debt Fund - Direct IDCW,IDFC Mutual Fund,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Debt Scheme
Debt Scheme - Banking and PSU Fund,121935,IDFC-IDFC Banking & PSU Debt Fund - Direct Monthly IDCW,IDFC Mutual Fund,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Debt Scheme
Debt Scheme - Banking and PSU Fund,121938,IDFC-IDFC Banking & PSU Debt Fund - Direct Quarterly IDCW,IDFC Mutual Fund,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Debt Scheme
Debt Scheme - Banking and PSU Fund,121933,IDFC-IDFC Banking & PSU Debt Fund - Regular Annual IDCW,IDFC Mutual Fund,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Debt Scheme
Debt Scheme - Banking and PSU Fund,127470,IDFC-IDFC Banking & PSU Debt Fund - Regular Daily IDCW,IDFC Mutual Fund,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Debt Scheme
Debt Scheme - Banking and PSU Fund,121931,IDFC-IDFC Banking & PSU Debt Fund - Regular Fortnightly IDCW,IDFC Mutual Fund,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Debt Scheme
Debt Scheme - Banking and PSU Fund,121280,IDFC-IDFC Banking & PSU Debt Fund - Regular Growth,IDFC Mutual Fund,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Debt Scheme
Debt Scheme - Banking and PSU Fund,121282,IDFC-IDFC Banking & PSU Debt Fund - Regular IDCW,IDFC Mutual Fund,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Debt Scheme
Debt Scheme - Banking and PSU Fund,121932,IDFC-IDFC Banking & PSU Debt Fund - Regular Monthly IDCW,IDFC Mutual Fund,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Debt Scheme
Debt Scheme - Banking and PSU Fund,121937,IDFC-IDFC Banking & PSU Debt Fund - Regular Quarterly IDCW,IDFC Mutual Fund,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Debt Scheme
