131148,ICICI Prudential Mutual Fund,Debt Scheme,Banking and PSU Fund,false,ICICI Prudential Banking and PSU Debt Fund - Direct Plan Half Yearly IDCW Option
112342,ICICI Prudential Mutual Fund,Debt Scheme,Banking and PSU Fund,true,ICICI Prudential Banking and PSU Debt Fund - Growth
116174,ICICI Prudential Mutual Fund,Debt Scheme,Banking and PSU Fund,false,ICICI Prudential Banking and PSU Debt Fund - Quarterly IDCW
131147,ICICI Prudential Mutual Fund,Debt Scheme,Banking and PSU Fund,false,ICICI Prudential Banking and PSU Debt Fund Half Yearly IDCW Option
113247,ICICI Prudential Mutual Fund,Debt Scheme,Banking and PSU Fund,false,ICICI Prudential Banking and PSU Debt Fund Retail Daily Dividend
113242,ICICI Prudential Mutual Fund,Debt Scheme,Banking and PSU Fund,true,ICICI Prudential Banking and PSU Debt Fund Retail Growth
113243,ICICI Prudential Mutual Fund,Debt Scheme,Banking and PSU Fund,false,ICICI Prudential Banking and PSU Debt Fund Retail Weekly Dividend
121936,IDFC Mutual Fund,Debt Scheme,Banking and PSU Fund,false,IDFC-IDFC Banking & PSU Debt Fund - Direct Annual IDCW
127471,IDFC Mutual Fund,Debt Scheme,Banking and PSU Fund,false,IDFC-IDFC Banking & PSU Debt Fund - Direct Daily IDCW
121934,IDFC Mutual Fund,Debt Scheme,Banking and PSU Fund,false,IDFC-IDFC Banking & PSU Debt Fund - Direct Fortnightly IDCW
121279,IDFC Mutual Fund,Debt Scheme,Banking and PSU Fund,true,IDFC-IDFC Banking & PSU Debt Fund - Direct Growth
121281,IDFC Mutual Fund,Debt Scheme,Banking and PSU Fund,false,IDFC-IDFC Banking & PSU Debt Fund - Direct IDCW
121935,IDFC Mutual Fund,Debt Scheme,Banking and PSU Fund,false,IDFC-IDFC Banking & PSU Debt Fund - Direct Monthly IDCW
121938,IDFC Mutual Fund,Debt Scheme,Banking and PSU Fund,false,IDFC-IDFC Banking & PSU Debt Fund - Direct Quarterly IDCW
121933,IDFC Mutual Fund,Debt Scheme,Banking and PSU Fund,false,IDFC-IDFC Banking & PSU Debt Fund - Regular Annual IDCW
127470,IDFC Mutual Fund,Debt Scheme,Banking and PSU Fund,false,IDFC-IDFC Banking & PSU Debt Fund - Regular Daily IDCW
121931,IDFC Mutual Fund,Debt Scheme,Banking and PSU Fund,false,IDFC-IDFC Banking & PSU Debt Fund - Regular Fortnightly IDCW
121280,IDFC Mutual Fund,Debt Scheme,Banking and PSU Fund,true,IDFC-IDFC Banking & PSU Debt Fund - Regular Growth
121282,IDFC Mutual Fund,Debt Scheme,Banking and PSU Fund,false,IDFC-IDFC Banking & PSU Debt Fund - Regular IDCW
121932,IDFC Mutual Fund,Debt Scheme,Banking and PSU Fund,false,IDFC-IDFC Banking & PSU Debt Fund - Regular Monthly IDCW
121937,IDFC Mutual Fund,Debt Scheme,Banking and PSU Fund,false,IDFC-IDFC Banking & PSU Debt Fund - Regular Quarterly IDCW
147223,Indiabulls Mutual Fund,Debt Scheme,Banking and PSU Fund,true,Indiabulls Banking & PSU Debt Fund- Regular Plan- Growth Option
147218,Indiabulls Mutual Fund,Debt Scheme,Banking and PSU Fund,false,Indiabulls Banking & PSU Debt Fund-Direct Plan- Daily Dividend Option
147219,Indiabulls Mutual Fund,Debt Scheme,Banking and PSU Fund,false,Indiabulls Banking & PSU Debt Fund-Direct Plan- Fortnightly Dividend Option
147217,Indiabulls Mutual Fund,Debt Scheme,Banking and PSU Fund,true,Indiabulls Banking & PSU Debt Fund-Direct Plan- Growth
147221,Indiabulls Mutual Fund,Debt Scheme,Banking and PSU Fund,false,Indiabulls Banking & PSU Debt Fund-Direct Plan- Monthly Dividend Option
147220,Indiabulls Mutual Fund,Debt Scheme,Banking and PSU Fund,false,Indiabulls Banking & PSU Debt Fund-Direct Plan- Weekly Dividend Option
147224,Indiabulls Mutual Fund,Debt Scheme,Banking and PSU Fund,false,Indiabulls Banking & PSU Debt Fund-Regular Plan- Daily Dividend Option
147222,Indiabulls Mutual Fund,Debt Scheme,Banking and PSU Fund,false,Indiabulls Banking & PSU Debt Fund-Regular Plan- Weekly Dividend Option
147226,Indiabulls Mutual Fund,Debt Scheme,Banking and PSU Fund,false,Indiabulls Banking & PSU Debt Fund-Regular Plan-Fortnightly Dividend Option
147225,Indiabulls Mutual Fund,Debt Scheme,Banking and PSU Fund,false,Indiabulls Banking & PSU Debt Fund-Regular Plan-Monthly Dividend Option
118234,Invesco Mutual Fund,Debt Scheme,Banking and PSU Fund,false,Invesco India Banking & PSU Debt Fund - Daily IDCW (Reinvestment)
120444,Invesco Mutual Fund,Debt Scheme,Banking and PSU Fund,true,Invesco India Banking & PSU Debt Fund - Direct Plan -  Growth Option
120443,Invesco Mutual Fund,Debt Scheme,Banking and PSU Fund,false,Invesco India Banking & PSU Debt Fund - Direct Plan - Daily IDCW (Reinvestment)
120445,Invesco Mutual Fund,Debt Scheme,Banking and PSU Fund,false,Invesco India Banking & PSU Debt Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment)
118232,Invesco Mutual Fund,Debt Scheme,Banking and PSU Fund,true,Invesco India Banking & PSU Debt Fund - Growth Option
118233,Invesco Mutual Fund,Debt Scheme,Banking and PSU Fund,false,Invesco India Banking & PSU Debt Fund - Monthly IDCW (Payout / Reinvestment)
148534,ITI Mutual Fund,Debt Scheme,Banking and PSU Fund,true,ITI Banking & PSU Debt Fund - Direct Plan - Growth Option
148536,ITI Mutual Fund,Debt Scheme,Banking and PSU Fund,false,ITI Banking & PSU Debt Fund - Direct Plan - IDCW Option
148535,ITI Mutual Fund,Debt Scheme,Banking and PSU Fund,true,ITI Banking & PSU Debt Fund - Regular Plan - Growth Option
